Graphs to Create:

GraphN = 100000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.05, running time = 41257.889146 ms
GraphN = 100000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.1, running time  = 117998.98188 ms
GraphN = 100000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.2, running time  = 333551.936527 ms
GraphN = 100000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.3, running time  =
GraphN = 100000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.4, running time  =
GraphN = 100000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.5, running time  =

GraphN = 100000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.05, running time = 41032.802019 ms
GraphN = 100000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.1, running time  = 111792.518043 ms
GraphN = 100000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.2, running time  = 288210.441169 ms
GraphN = 100000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.3, running time  =
GraphN = 100000, GraphK = 8, graphP = 0.1, TS = 1000, density = 0.4, running time =
GraphN = 100000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.5, running time  =
------
GraphN = 1000000, GraphK = 8, graphP = 0.001, TS = 000, density = 0.05, running time = 3219312.6469860002 ms
GraphN = 1000000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.1, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.2, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.3, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.4, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.5, running time  =

GraphN = 1000000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.05, running time =
GraphN = 1000000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.1, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.2, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.3, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.4, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.5, running time  =

GraphN = 1000000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.05, running time = 3325551.5309150 ms
GraphN = 1000000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.1, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.2, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.3, running time  =
GraphN = 1000000, GraphK = 8, graphP = 0.1, TS = 1000, density = 0.4, running time =
GraphN = 1000000, GraphK = 8, graphP = 0.1, TS = 100, density = 0.5, running time  =







